"uf","descricao"
"MG","AGUA BOA"
"AL","TRAIPU"
"MG","PASSA TEMPO"
"AL","ESTRELA DE ALAGOAS"
"MA","GRAJAU"
"SP","RIVERSUL"
"MG","FARIA LEMOS"
"MA","SAO JOAO DO SOTER"
"BA","JAGUARIPE"
"MG","PINGO D'AGUA"
"CE","CARIRE"
"RJ","MARICA"
"PI","REDENCAO DO GURGUEIA"
"PA","TAILANDIA"
"PE","DORMENTES"
"MA","PRESIDENTE DUTRA"
"MG","RIO DO PRADO"
"PE","NAZARE DA MATA"
"MT","PORTO ALEGRE DO NORTE"
"BA","ARATACA"
"MG","ITURAMA"
"RS","GENERAL CAMARA"
"RS","GIRUA"
"MG","SARDOA"
"MG","BOA ESPERANCA"
"PR","GUAIRA"
"BA","QUIXABEIRA"
"SP","AREALVA"
"PI","DOMINGOS MOURAO"
"AM","SAO PAULO DE OLIVENCA"
"GO","ABADIA DE GOIAS"
"SP","SAO JOSE DO RIO PARDO"
"MA","CENTRAL DO MARANHAO"
"SE","NOSSA SENHORA DAS DORES"
"PR","SANTO INACIO"
"PB","CAAPORA"
"RS","PUTINGA"
"RS","CORONEL BICACO"
"SC","MATOS COSTA"
"BA","CANUDOS"
"TO","SANTA MARIA DO TOCANTINS"
"PR","SANTA CRUZ DE MONTE CASTELO"
"SP","DOBRADA"
"RS","TIO HUGO"
"PE","POCAO"
"MG","VIRGINOPOLIS"
"MA","CACHOEIRA GRANDE"
"RS","SILVEIRA MARTINS"
"SC","CATANDUVAS"
"AL","MARECHAL DEODORO"
"BA","CAETITE"
"SC","BOM JESUS DO OESTE"
"SE","JAPARATUBA"
"CE","BELA CRUZ"
"GO","ITAJA"
"MT","FELIZ NATAL"
"GO","BELA VISTA DE GOIAS"
"TO","ALIANCA DO TOCANTINS"
"BA","BOQUIRA"
"MG","ORATORIOS"
"PA","PICARRA"
"PR","SANTA MONICA"
"PE","VERDEJANTE"
"SP","SANTA BRANCA"
"RS","ALEGRIA"
"PB","SANTA INES"
"PR","CENTENARIO DO SUL"
"CE","PARAIPABA"
"GO","CAMPO ALEGRE DE GOIAS"
"CE","CARIRIACU"
"GO","AMERICANO DO BRASIL"
"PI","CORRENTE"
"RS","CRUZALTENSE"
"MT","CLAUDIA"
"PI","SAO MIGUEL DO FIDALGO"
"RS","QUEVEDOS"
"MA","LAJEADO NOVO"
"SP","PRATANIA"
"PE","OLINDA"
"MG","SAO JOSE DA VARGINHA"
"PE","SOLIDAO"
"BA","SERRA DOURADA"
"SC","CANOINHAS"
"MG","CAXAMBU"
"MT","PORTO ESTRELA"
"MG","MATOZINHOS"
"CE","CASCAVEL"
"TO","GURUPI"
"PA","MUANA"
"BA","CONDEUBA"
"MG","SAO GONCALO DO ABAETE"
"CE","RUSSAS"
"MG","LAGOA DOURADA"
"SP","ESPIRITO SANTO DO TURVO"
"PR","MANDAGUARI"
"RS","JARI"
"BA","LAJEDAO"
"TO","PONTE ALTA DO TOCANTINS"
"MA","CAXIAS"
"AL","SANTA LUZIA DO NORTE"
"SP","MACATUBA"
"RR","MUCAJAI"
"AL","MATA GRANDE"
"SC","NOVO HORIZONTE"
"SP","PARANAPANEMA"
"GO","CATURAI"
"PR","TAPEJARA"
"SP","SAO SIMAO"
"AL","QUEBRANGULO"
"SC","BALNEARIO RINCAO"
"MG","PIMENTA"
"RS","UNIAO DA SERRA"
"PR","JUSSARA"
"CE","PIQUET CARNEIRO"
"SC","CAMBORIU"
"MG","SANTA RITA DO SAPUCAI"
"PR","GUAMIRANGA"
"RS","PRESIDENTE LUCENA"
"PE","GOIANA"
"SC","SALTO VELOSO"
"PI","PARNAGUA"
"MG","DIVINOLANDIA DE MINAS"
"SP","ALFREDO MARCONDES"
"PI","CAMPO LARGO DO PIAUI"
"MG","SERRA DOS AIMORES"
"SP","IGARATA"
"RR","SAO JOAO DA BALIZA"
"PE","ILHA DE ITAMARACA"
"SP","PEDREIRA"
"RS","SAPIRANGA"
"AL","GIRAU DO PONCIANO"
"SP","SANTO ANDRE"
"SP","MONTE AZUL PAULISTA"
"PI","SANTANA DO PIAUI"
"MG","CONCEICAO DO PARA"
"PI","DIRCEU ARCOVERDE"
"PB","ITAPOROROCA"
"BA","RIBEIRAO DO LARGO"
"CE","JUCAS"
"MG","NOVA BELEM"
"RS","PARECI NOVO"
"SC","BALNEARIO ARROIO DO SILVA"
"RN","PUREZA"
"SP","RIBEIRAO BRANCO"
"ES","IUNA"
"PB","SANTA CECILIA"
"PA","TERRA ALTA"
"PE","IGUARACI"
"SC","SAO MIGUEL DO OESTE"
"MG","CAPINOPOLIS"
"SP","MAUA"
"MG","IBIRITE"
"MA","ANAJATUBA"
"PR","SAO MIGUEL DO IGUACU"
"SP","POA"
"RJ","ENGENHEIRO PAULO DE FRONTIN"
"SE","LARANJEIRAS"
"MG","PERDIGAO"
"RJ","TERESOPOLIS"
"MT","RIBEIRAOZINHO"
"SE","PEDRA MOLE"
"BA","PARATINGA"
"MG","SAO JOSE DO JACURI"
"PR","BOCAIUVA DO SUL"
"SP","CAIEIRAS"
"RN","UMARIZAL"
"PE","RIBEIRAO"
"MA","TASSO FRAGOSO"
"CE","MORRINHOS"
"RS","CASCA"
"PA","BARCARENA"
"RJ","VARRE-SAI"
"PB","BREJO DOS SANTOS"
"RS","PORTO VERA CRUZ"
"MG","TURVOLANDIA"
"SC","PAINEL"
"SP","LENCOIS PAULISTA"
"SP","VITORIA BRASIL"
"SC","TUNAPOLIS"
"RN","VENHA-VER"
"RS","PIRAPO"
"PR","PARANAPOEMA"
"PA","TRACUATEUA"
"PB","RIACHO DE SANTO ANTONIO"
"MT","ALTO ARAGUAIA"
"BA","ACAJUTIBA"
"MG","GONCALVES"
"PR","ASSAI"
"RS","SAO JERONIMO"
"SP","CATANDUVA"
"BA","CANAPOLIS"
"ES","ITAGUACU"
"PR","PEROBAL"
"PI","VERA MENDES"
"RJ","PIRAI"
"MT","NOVO HORIZONTE DO NORTE"
"SP","SAO MIGUEL ARCANJO"
"MG","NOVA LIMA"
"SP","JARDINOPOLIS"
"GO","SAO JOAO D'ALIANCA"
"MG","SAO FRANCISCO DE SALES"
"MA","BARREIRINHAS"
"SP","BRAGANCA PAULISTA"
"RS","RELVADO"
"BA","ITAMARI"
"RN","VARZEA"
"RS","ROLANTE"
"BA","SOUTO SOARES"
"TO","GOIANORTE"
"CE","ASSARE"
"SE","FEIRA NOVA"
"PR","VIRMOND"
"AL","OLHO D'AGUA GRANDE"
"PR","ARIRANHA DO IVAI"
"SP","QUINTANA"
"RS","CAPAO DO CIPO"
"SP","SERRA AZUL"
"CE","MORAUJO"
"SE","CARMOPOLIS"
"BA","ANDARAI"
"PI","CANTO DO BURITI"
"SP","NOVA CANAA PAULISTA"
"BA","CRISTOPOLIS"
"RS","SAO SEBASTIAO DO CAI"
"MG","ANTONIO CARLOS"
"SP","ITATIBA"
"PE","CATENDE"
"TO","CRIXAS DO TOCANTINS"
"MG","SAO SEBASTIAO DO OESTE"
"PE","SAO BENEDITO DO SUL"
"PB","BANANEIRAS"
"SP","SALES"
"RS","CENTENARIO"
"RN","TIBAU DO SUL"
"RS","SAO GABRIEL"
"MG","OLARIA"
"BA","ITIRUCU"
"SC","BELA VISTA DO TOLDO"
"MG","MONTE AZUL"
"SC","ASCURRA"
"PR","MATELANDIA"
"AL","OURO BRANCO"
"MG","PAIVA"
"PR","TOMAZINA"
"CE","FORTALEZA"
"CE","UMIRIM"
"CE","PEDRA BRANCA"
"PB","MATO GROSSO"
"MA","PASSAGEM FRANCA"
"SP","LEME"
"CE","IPAPORANGA"
"SP","LUCELIA"
"MG","DIVINOPOLIS"
"TO","SANTA ROSA DO TOCANTINS"
"MG","OLHOS-D'AGUA"
"PA","MAGALHAES BARATA"
"RN","SAO FRANCISCO DO OESTE"
"RS","SANTANA DO LIVRAMENTO"
"BA","IBITIARA"
"MG","SAO SEBASTIAO DO RIO PRETO"
"TO","TAGUATINGA"
"GO","APARECIDA DE GOIANIA"
"MG","CATAGUASES"
"AM","IPIXUNA"
"PI","CAMPINAS DO PIAUI"
"CE","RERIUTABA"
"SP","SAO VICENTE"
"CE","LIMOEIRO DO NORTE"
"SP","SANTA CRUZ DA CONCEICAO"
"CE","ANTONINA DO NORTE"
"BA","ARACATU"
"PE","LAGOA DO CARRO"
"GO","DAMIANOPOLIS"
"AP","SERRA DO NAVIO"
"BA","ITIUBA"
"SC","CRICIUMA"
"SC","SAO JOSE DO CEDRO"
"PA","CASTANHAL"
"RS","ESPUMOSO"
"SP","ADAMANTINA"
"PR","NOVA SANTA ROSA"
"MG","SAO JOAO DEL REI"
"GO","ITARUMA"
"PB","DONA INES"
"PR","LARANJAL"
"BA","VARZEA DO POCO"
"RS","MAMPITUBA"
"MG","MARIANA"
"MG","CAPITAO ANDRADE"
"MG","SAO JOAO NEPOMUCENO"
"PR","PRESIDENTE CASTELO BRANCO"
"PB","RIACHO DOS CAVALOS"
"SP","AMERICO DE CAMPOS"
"AP","MACAPA"
"GO","CHAPADAO DO CEU"
"MG","ITAOBIM"
"SC","VARGEM"
"SP","BATATAIS"
"MT","NOVA MARILANDIA"
"AP","CALCOENE"
"SP","ALVARES FLORENCE"
"SP","RUBINEIA"
"RS","CAMAQUA"
"SC","MAREMA"
"SP","AGUDOS"
"MG","COUTO DE MAGALHAES DE MINAS"
"MA","SAO JOAO DO PARAISO"
"PR","ALTO PARANA"
"CE","IBIAPINA"
"BA","CANSANCAO"
"CE","PACOTI"
"PB","PILAR"
"GO","IACIARA"
"PE","CASINHAS"
"SC","PRESIDENTE GETULIO"
"SP","FRANCISCO MORATO"
"MA","JOSELANDIA"
"RS","SAO NICOLAU"
"TO","CARIRI DO TOCANTINS"
"MT","COCALINHO"
"MG","PIEDADE DE PONTE NOVA"
"SP","SANTA RITA D'OESTE"
"SP","PARAISO"
"PR","FAZENDA RIO GRANDE"
"SP","OLIMPIA"
"SP","ALTO ALEGRE"
"RS","CAMARGO"
"PE","SAO VICENTE FERRER"
"PB","BARRA DE SAO MIGUEL"
"MG","PIRAPORA"
"MG","GOIABEIRA"
"PI","RIACHO FRIO"
"MG","CIPOTANEA"
"BA","JUSSIAPE"
"AL","PORTO REAL DO COLEGIO"
"SP","AREIAS"
"PR","IVAI"
"SP","ITUPEVA"
"AC","MANOEL URBANO"
"SC","ANITA GARIBALDI"
"PR","BARBOSA FERRAZ"
"MA","GONCALVES DIAS"
"PR","URAI"
"MS","DEODAPOLIS"
"RN","RIACHUELO"
"PI","CABECEIRAS DO PIAUI"
"RS","ENGENHO VELHO"
"PE","MARAIAL"
"PI","COCAL DE TELHA"
"RS","SANTA MARGARIDA DO SUL"
"PA","ABAETETUBA"
"SP","COSMORAMA"
"PA","XINGUARA"
"CE","JATI"
"MA","GOVERNADOR EUGENIO BARROS"
"RN","IELMO MARINHO"
"PR","PIEN"
"RS","IMIGRANTE"
"MG","VESPASIANO"
"MG","CAMPESTRE"
"SP","ORIENTE"
"PI","MIGUEL LEAO"
"CE","BARRO"
"BA","APORA"
"MG","NOVA MODICA"
"PR","SAO JOSE DOS PINHAIS"
"SP","SANTA GERTRUDES"
"RN","SAO JOSE DO SERIDO"
"PB","PRATA"
"MG","CAPELA NOVA"
"MG","PATIS"
"CE","BANABUIU"
"BA","LICINIO DE ALMEIDA"
"BA","CAIRU"
"PI","GEMINIANO"
"GO","SANTO ANTONIO DO DESCOBERTO"
"MG","GUAXUPE"
"MG","ITABIRINHA"
"MA","MILAGRES DO MARANHAO"
"PA","SANTA LUZIA DO PARA"
"SC","FRAIBURGO"
"MG","MATHIAS LOBATO"
"PA","CURIONOPOLIS"
"MG","SAO GONCALO DO RIO ABAIXO"
"MA","LUIS DOMINGUES"
"MT","CUIABA"
"PR","PEROLA D'OESTE"
"PE","AGUAS BELAS"
"RS","DOM PEDRITO"
"RS","SEDE NOVA"
"BA","NOVA VICOSA"
"SP","RIFAINA"
"CE","NOVA RUSSAS"
"MG","IJACI"
"MS","BATAYPORA"
"GO","SITIO D'ABADIA"
"SP","FRANCA"
"SC","LACERDOPOLIS"
"PB","SOUSA"
"PI","JERUMENHA"
"PE","CAMARAGIBE"
"SC","LAGUNA"
"SC","ARARANGUA"
"CE","UBAJARA"
"MG","VIRGOLANDIA"
"MA","TUNTUM"
"MA","SANTANA DO MARANHAO"
"PI","SAO GONCALO DO PIAUI"
"MG","CORONEL PACHECO"
"SP","TORRINHA"
"MG","ANDRADAS"
"MG","SANTA BARBARA DO LESTE"
"TO","LAGOA DO TOCANTINS"
"PR","BORRAZOPOLIS"
"PR","FLORESTA"
"RS","CAPAO DO LEAO"
"BA","VARZEDO"
"BA","BONINAL"
"PI","MONSENHOR HIPOLITO"
"RS","PROTASIO ALVES"
"MA","ROSARIO"
"ES","GUARAPARI"
"RS","NOVO CABRAIS"
"PB","APARECIDA"
"SP","MOTUCA"
"MG","ALTO JEQUITIBA"
"PR","INAJA"
"MA","VITORIA DO MEARIM"
"TO","FIGUEIROPOLIS"
"PA","CAMETA"
"BA","BOTUPORA"
"TO","MAURILANDIA DO TOCANTINS"
"PE","XEXEU"
"SP","GENERAL SALGADO"
"PI","CANAVIEIRA"
"BA","BARRA DA ESTIVA"
"PB","CARAUBAS"
"SP","MOGI DAS CRUZES"
"PA","ALTAMIRA"
"GO","PORANGATU"
"BA","URUCUCA"
"SC","QUILOMBO"
"RO","PRESIDENTE MEDICI"
"CE","BAIXIO"
"GO","HIDROLANDIA"
"MT","SAO FELIX DO ARAGUAIA"
"PI","JULIO BORGES"
"PR","MISSAL"
"MG","CONGONHAS DO NORTE"
"PR","SANTO ANTONIO DO CAIUA"
"MG","CHACARA"
"BA","SAO GABRIEL"
"PR","CARAMBEI"
"GO","CRISTALINA"
"RJ","CABO FRIO"
"SP","IBIRA"
"SP","SAO CAETANO DO SUL"
"RN","LUIS GOMES"
"PE","CAMOCIM DE SAO FELIX"
"RS","UNISTALDA"
"MG","RIBEIRAO DAS NEVES"
"SC","IRATI"
"MT","ARAGUAIANA"
"SC","TIMBO"
"MG","SAO JOAO DAS MISSOES"
"RN","ESPIRITO SANTO"
"MA","GRACA ARANHA"
"CE","MADALENA"
"RS","CATUIPE"
"GO","JAUPACI"
"SP","JACAREI"
"MT","FIGUEIROPOLIS D'OESTE"
"AC","SENADOR GUIOMARD"
"PR","JANDAIA DO SUL"
"MA","ARAIOSES"
"SC","PRESIDENTE CASTELLO BRANCO"
"RS","BARAO DE COTEGIPE"
"SP","IBATE"
"RN","VERA CRUZ"
"PI","JOAQUIM PIRES"
"MG","ALVORADA DE MINAS"
"SE","MACAMBIRA"
"PR","FIGUEIRA"
"MG","REDUTO"
"SP","APARECIDA D'OESTE"
"BA","BAIANOPOLIS"
"MG","LAMIM"
"SE","CANHOBA"
"MT","PRIMAVERA DO LESTE"
"MG","VERISSIMO"
"RS","CASEIROS"
"AL","NOVO LINO"
"RJ","SUMIDOURO"
"MG","RIACHO DOS MACHADOS"
"SP","PONTES GESTAL"
"RN","FLORANIA"
"MG","JUATUBA"
"PR","NOVA AMERICA DA COLINA"
"MG","VARZELANDIA"
"MG","TEIXEIRAS"
"PB","MATARACA"
"PE","OROBO"
"PR","OURO VERDE DO OESTE"
"PE","FEIRA NOVA"
"SE","AMPARO DE SAO FRANCISCO"
"AM","PARINTINS"
"PE","OROCO"
"PR","PRIMEIRO DE MAIO"
"GO","ORIZONA"
"MA","DOM PEDRO"
"PR","ITAPEJARA D'OESTE"
"MG","ITABIRA"
"MG","ESMERALDAS"
"RO","NOVO HORIZONTE DO OESTE"
"BA","BRUMADO"
"MG","CONEGO MARINHO"
"PB","SUME"
"PI","LAGOA DE SAO FRANCISCO"
"MA","CENTRO NOVO DO MARANHAO"
"BA","VALENTE"
"MT","RIBEIRAO CASCALHEIRA"
"MG","SAO SEBASTIAO DO ANTA"
"CE","CEDRO"
"MG","WENCESLAU BRAZ"
"PR","IVATE"
"SC","ITAJAI"
"RS","TEUTONIA"
"SP","REGISTRO"
"GO","BARRO ALTO"
"PE","SAIRE"
"MG","LASSANCE"
"PR","MARILUZ"
"ES","SAO GABRIEL DA PALHA"
"PA","BANNACH"
"AP","TARTARUGALZINHO"
"MA","ALTAMIRA DO MARANHAO"
"GO","RIO QUENTE"
"MG","COLUNA"
"RJ","TANGUA"
"RN","TANGARA"
"PR","TUPASSI"
"BA","SERRINHA"
"GO","IPIRANGA DE GOIAS"
"PR","TERRA ROXA"
"MA","PINHEIRO"
"PR","MARIOPOLIS"
"GO","PADRE BERNARDO"
"PR","CAMBARA"
"MS","INOCENCIA"
"SC","LAURENTINO"
"AL","PASSO DE CAMARAGIBE"
"PR","PORTO VITORIA"
"SP","ORLANDIA"
"MT","NOVA XAVANTINA"
"RS","PARAI"
"RS","SANTA CRUZ DO SUL"
"PB","SAO JOSE DO SABUGI"
"PB","TRIUNFO"
"SP","NOVA GUATAPORANGA"
"SC","BOCAINA DO SUL"
"MA","PENALVA"
"SE","SANTA ROSA DE LIMA"
"PB","SANTANA DOS GARROTES"
"PR","RAMILANDIA"
"SP","BERNARDINO DE CAMPOS"
"PI","TERESINA"
"MA","CAROLINA"
"RS","FELIZ"
"MT","JUINA"
"SP","ITU"
"RS","GUAIBA"
"BA","MIRANTE"
"RS","VICTOR GRAEFF"
"SP","ITAPOLIS"
"BA","MAIQUINIQUE"
"GO","BRAZABRANTES"
"MG","CAPETINGA"
"CE","IRAUCUBA"
"RJ","BOM JESUS DO ITABAPOANA"
"CE","QUIXADA"
"MG","NOVA PORTEIRINHA"
"BA","MALHADA"
"BA","ITUACU"
"GO","CERES"
"RJ","TRAJANO DE MORAES"
"MT","ALTA FLORESTA"
"SC","PAIAL"
"MG","CAMPOS GERAIS"
"BA","TUCANO"
"SE","CAMPO DO BRITO"
"SP","CUNHA"
"RJ","COMENDADOR LEVY GASPARIAN"
"RS","ESTANCIA VELHA"
"RN","ASSU"
"MG","NATERCIA"
"RS","SAO VICENTE DO SUL"
"ES","VIANA"
"MG","CABECEIRA GRANDE"
"MG","GUAPE"
"SP","FARTURA"
"MG","CORDISLANDIA"
"AP","CUTIAS"
"RS","SANTA BARBARA DO SUL"
"BA","TABOCAS DO BREJO VELHO"
"BA","CAPELA DO ALTO ALEGRE"
"MG","PIEDADE DE CARATINGA"
"RN","APODI"
"PE","SANTA CRUZ DO CAPIBARIBE"
"RS","NOVO XINGU"
"BA","POJUCA"
"MG","SAO GERALDO DA PIEDADE"
"SP","JACI"
"PA","PARAUAPEBAS"
"PE","LAJEDO"
"SP","COTIA"
"RS","CAPAO DA CANOA"
"MA","BREJO"
"PI","DOM INOCENCIO"
"RN","SERRA NEGRA DO NORTE"
"MA","SAO ROBERTO"
"BA","ARAMARI"
"CE","TARRAFAS"
"MG","CURVELO"
"PB","VARZEA"
"PI","COIVARAS"
"SP","GAVIAO PEIXOTO"
"TO","APARECIDA DO RIO NEGRO"
"PE","QUIPAPA"
"TO","GUARAI"
"RS","ALTO ALEGRE"
"SP","TRES FRONTEIRAS"
"MG","MATEUS LEME"
"AL","ROTEIRO"
"GO","GOIANDIRA"
"PR","INACIO MARTINS"
"PR","SENGES"
"RN","MONTE ALEGRE"
"BA","GUAJERU"
"BA","BELMONTE"
"BA","RUY BARBOSA"
"RN","PAU DOS FERROS"
"PI","PALMEIRAIS"
"MG","RIO POMBA"
"MG","SAO TIAGO"
"PB","ALCANTIL"
"PR","AMPERE"
"SP","SAO SEBASTIAO DA GRAMA"
"RS","VILA LANGARO"
"RS","BOA VISTA DO INCRA"
"PE","AGRESTINA"
"PR","PIRAQUARA"
"SP","TIMBURI"
"BA","SATIRO DIAS"
"MG","ARACUAI"
"MG","BOM JESUS DO AMPARO"
"BA","MORPARA"
"MT","POXOREU"
"MG","FERROS"
"RS","UBIRETAMA"
"PB","SANTA TERESINHA"
"SP","REGINOPOLIS"
"MG","FORTUNA DE MINAS"
"RS","RONDINHA"
"RS","SAO JOSE DO SUL"
"SC","ANITAPOLIS"
"MA","SANTA QUITERIA DO MARANHAO"
"SP","SALTO GRANDE"
"PE","JOAQUIM NABUCO"
"SP","IRACEMAPOLIS"
"CE","ALTO SANTO"
"PR","ESPIGAO ALTO DO IGUACU"
"BA","JUCURUCU"
"MS","MUNDO NOVO"
"TO","PINDORAMA DO TOCANTINS"
"PB","PILOEZINHOS"
"MG","CANAA"
"RJ","ITALVA"
"SP","GUATAPARA"
"SP","ANGATUBA"
"MG","NOVA SERRANA"
"BA","JABORANDI"
"MG","CACHOEIRA DOURADA"
"MG","BRAS PIRES"
"MG","DIAMANTINA"
"PI","LUIS CORREIA"
"MT","NOVA MARINGA"
"RS","BENTO GONCALVES"
"RS","FAXINALZINHO"
"BA","SANTA MARIA DA VITORIA"
"MA","LAGOA DO MATO"
"MG","IBIRACATU"
"MT","SAO JOSE DOS QUATRO MARCOS"
"MG","DESTERRO DE ENTRE RIOS"
"PR","PONTAL DO PARANA"
"CE","FARIAS BRITO"
"PA","NOVA ESPERANCA DO PIRIA"
"MA","BURITI BRAVO"
"RN","SAO MIGUEL"
"SP","IPEUNA"
"RS","SAO JOSE DO HORTENCIO"
"RO","THEOBROMA"
"SP","TERRA ROXA"
"RS","PINHAL"
"RN","VICOSA"
"RS","ARARICA"
"SP","IBIUNA"
"PB","PRINCESA ISABEL"
"SP","SERRA NEGRA"
"MA","SUCUPIRA DO NORTE"
"PA","OURILANDIA DO NORTE"
"PE","FREI MIGUELINHO"
"PA","IRITUIA"
"BA","BREJOES"
"RN","LAGOA SALGADA"
"BA","TERRA NOVA"
"RS","ANDRE DA ROCHA"
"CE","PALHANO"
"AL","MAR VERMELHO"
"AL","SAO BRAS"
"PA","DOM ELISEU"
"SC","BRUSQUE"
"PE","JUCATI"
"AM","NHAMUNDA"
"PI","SANTO ANTONIO DE LISBOA"
"RS","BRAGA"
"GO","AURILANDIA"
"TO","DOIS IRMAOS DO TOCANTINS"
"PE","BELEM DE MARIA"
"BA","ELISIO MEDRADO"
"PE","QUIXABA"
"SP","PINHALZINHO"
"RS","NOVA ARACA"
"MG","NINHEIRA"
"SP","BANANAL"
"PR","PORTO RICO"
"TO","JAU DO TOCANTINS"
"TO","CONCEICAO DO TOCANTINS"
"RN","LAGOA D'ANTA"
"GO","BURITI DE GOIAS"
"MT","NOBRES"
"MG","RIO VERMELHO"
"PR","NOVA LONDRINA"
"BA","SAPEACU"
"MG","SALINAS"
"BA","CACULE"
"PA","CURUCA"
"SP","ARTUR NOGUEIRA"
"PE","SALOA"
"PB","CAMPINA GRANDE"
"ES","MARECHAL FLORIANO"
"SP","BARRA DO CHAPEU"
"PB","SOSSEGO"
"AL","LAGOA DA CANOA"
"PE","JUPI"
"SC","RODEIO"
"MG","CRISTAIS"
"SC","TIJUCAS"
"MG","BOM DESPACHO"
"PR","CERRO AZUL"
"SP","NANTES"
"RJ","CANTAGALO"
"PE","CORTES"
"SC","CAIBI"
"PI","CAJUEIRO DA PRAIA"
"RN","BARAUNA"
"SC","MAJOR GERCINO"
"PB","TAVARES"
"MG","MATIAS BARBOSA"
"SP","ASSIS"
"RO","CASTANHEIRAS"
"PI","MADEIRO"
"BA","MATA DE SAO JOAO"
"BA","SANTA BRIGIDA"
"RS","ROLADOR"
"RN","SAO JOAO DO SABUGI"
"PR","BOM SUCESSO DO SUL"
"BA","MATINA"
"RS","ENTRE IJUIS"
"MG","BANDEIRA DO SUL"
"BA","JAGUAQUARA"
"GO","SANTA ISABEL"
"MA","PERITORO"
"RN","SANTANA DO SERIDO"
"TO","PRESIDENTE KENNEDY"
"PR","NOVA FATIMA"
"MG","SANTA EFIGENIA DE MINAS"
"MG","RUBIM"
"ES","DOMINGOS MARTINS"
"PR","HONORIO SERPA"
"RN","IPANGUACU"
"GO","CROMINIA"
"SP","PRESIDENTE BERNARDES"
"MT","ARIPUANA"
"BA","COTEGIPE"
"SP","CORDEIROPOLIS"
"PE","TABIRA"
"SP","CUBATAO"
"SC","PALMA SOLA"
"PB","GURJAO"
"BA","ITAQUARA"
"CE","CAMPOS SALES"
"PA","PARAGOMINAS"
"SP","PIRANGI"
"MG","SANTO ANTONIO DO GRAMA"
"TO","TAIPAS DO TOCANTINS"
"MG","PONTE NOVA"
"MG","PRATINHA"
"SP","QUATA"
"SC","AGROLANDIA"
"RN","JUNDIA"
"MG","PALMOPOLIS"
"MT","JUARA"
"CE","QUITERIANOPOLIS"
"PI","NOVA SANTA RITA"
"PI","JOAO COSTA"
"RN","BENTO FERNANDES"
"BA","SAO JOSE DA VITORIA"
"PR","JACAREZINHO"
"RS","TAVARES"
"CE","PACUJA"
"PB","SANTA LUZIA"
"PA","BELTERRA"
"MA","MORROS"
"GO","ABADIANIA"
"CE","QUIXERE"
"PR","RIO BRANCO DO IVAI"
"PR","SAPOPEMA"
"RS","CAMPINAS DO SUL"
"CE","PORTEIRAS"
"MG","SAO JOAO DO PACUI"
"SP","UNIAO PAULISTA"
"SP","SETE BARRAS"
"RN","GOVERNADOR DIX-SEPT ROSADO"
"GO","SANTA ROSA DE GOIAS"
"MT","TAPURAH"
"MS","ALCINOPOLIS"
"ES","DORES DO RIO PRETO"
"RS","SARANDI"
"SP","ANHUMAS"
"SP","RIBEIRAO GRANDE"
"CE","PORANGA"
"GO","SAO MIGUEL DO PASSA QUATRO"
"MA","BENEDITO LEITE"
"SC","SALTINHO"
"PE","AFOGADOS DA INGAZEIRA"
"RO","CABIXI"
"TO","JUARINA"
"GO","CAIAPONIA"
"CE","PEREIRO"
"MG","SAPUCAI-MIRIM"
"SP","VARGEM"
"SP","RESTINGA"
"PR","SANTA FE"
"RJ","ARMACAO DOS BUZIOS"
"SC","IRACEMINHA"
"GO","CAVALCANTE"
"BA","RIACHAO DAS NEVES"
"SP","LAVRINHAS"
"BA","QUEIMADAS"
"MG","PORTO FIRME"
"SP","ALVARO DE CARVALHO"
"MG","INHAPIM"
"MG","COQUEIRAL"
"RN","PASSAGEM"
"RS","RESTINGA SECA"
"PE","BREJO DA MADRE DE DEUS"
"BA","SITIO DO QUINTO"
"PA","SAO JOAO DA PONTA"
"RS","MARIANA PIMENTEL"
"PI","MORRO CABECA NO TEMPO"
"MA","RIBAMAR FIQUENE"
"PI","PALMEIRA DO PIAUI"
"MG","LAGOA FORMOSA"
"BA","AGUA FRIA"
"RS","SANTO CRISTO"
"RN","ANTONIO MARTINS"
"BA","CHORROCHO"
"GO","ALOANDIA"
"MG","ABAETE"
"MG","CARANAIBA"
"RJ","MESQUITA"
"SC","BALNEARIO DE PICARRAS"
"GO","MONTIVIDIU DO NORTE"
"RS","CARAZINHO"
"PE","TORITAMA"
"PB","SERRA DA RAIZ"
"SP","ITAPIRAPUA PAULISTA"
"PR","PARANACITY"
"MG","BUENOPOLIS"
"RO","ESPIGAO D'OESTE"
"SP","TAQUARIVAI"
"RS","SAO FRANCISCO DE PAULA"
"BA","IBICARAI"
"MG","INIMUTABA"
"SP","SERTAOZINHO"
"BA","SIMOES FILHO"
"GO","NAZARIO"
"RN","LAGOA NOVA"
"TO","MATEIROS"
"MA","ICATU"
"CE","TAMBORIL"
"PA","AVEIRO"
"CE","APUIARES"
"PE","POMBOS"
"MA","PACO DO LUMIAR"
"SC","BOMBINHAS"
"PR","CRUZEIRO DO OESTE"
"MG","TRES MARIAS"
"MG","CAIANA"
"MG","SEM-PEIXE"
"SP","GABRIEL MONTEIRO"
"RS","DOUTOR MAURICIO CARDOSO"
"RN","JOAO DIAS"
"GO","PARAUNA"
"TO","SAMPAIO"
"SE","NOSSA SENHORA DE LOURDES"
"SP","RANCHARIA"
"PI","PIO IX"
"MG","MARIPA DE MINAS"
"MS","COSTA RICA"
"MG","MACHADO"
"CE","ITAPIPOCA"
"MG","JANUARIA"
"MG","BANDEIRA"
